rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
1.0,malware,mcaffee IS malware,[],B07BFS3G7P,B0BQSK9QCF,AGCI7FAH4GL5FI65HYLKWTMFZ2CQ,1562182632076,0,False
5.0,Lots of Fun,"I love playing tapped out because it is fun to watch the town grow by earning money and buying buildings.  I love helping my neighbors, too.",[],B00CTQ6SIG,B00CTQ6SIG,AHSPLDNW5OOUK2PLH7GXLACFBZNQ,1424120336000,0,True
5.0,Light Up The Dark,"I love this flashlight app!  It really illuminates the dark, very cool!  Get this app, you will love it, really!",[],B0066WJLU6,B0066WJLU6,AHSPLDNW5OOUK2PLH7GXLACFBZNQ,1362399267000,0,True
4.0,Fun game,One of my favorite games,[],B00KCYMAWK,B00KCYMAWK,AH6CATODIVPVUOJEWHRSRCSKAOHA,1561061428662,0,True
4.0,I am not that good at it but my kids are,Cute game. I am not that good at it but my kids are. We love Nik Wallenda!,[],B00P1RK566,B00P1RK566,AEINY4XOINMMJCK5GZ3M6MMHBN6A,1418257196000,0,True
4.0,good game,"Made me think , variety of the puzzles kept it fun to play. I am glad I gave this one a chance.  Looking forward to the next update",[],B00CWY76CC,B00CWY76CC,AEINY4XOINMMJCK5GZ3M6MMHBN6A,1374994387000,0,True
5.0,My favorite showVoice my favorite show,See the voice anytime my My favorite show,[],B018IOV40E,B018IOV40E,AEJDETWITK2KGACH7FUBMY33PPSQ,1520456160247,0,True
5.0,Great Antivirus product,"Not sure what else can be said about Norton products. I have used them for years on all my desk and laptop computers. Easy to install and protects my hard-drives well. Not sure I see what one of the other reviewers stated about upsells from Norton (haven't seen them yet even after almost 3 weeks of daily use). Anyway, if you are looking for Antivirus software that can be easily installed on three of your devices, this is for you.",[],B00EZPXYP4,B00EZPXYP4,AFSKPY37N3C43SOI5IEXEK5JSIYA,1384358113000,0,False
1.0,Fraught with too many problems,"Save your money and purchase a good (i.e. Norton) security for your PC. Too many issues with this version. I have not tried the newer editions since I was so burned by this one, but I do see where the latest edition is $20 cheaper than this one. So, if you are into gambling and want to try the more recent version, maybe they got rid of all the bugs and glitches in this one. I still would recommend looking elsewhere to protect your pc.",[],B002I7PGT8,B002I7PGT8,AFSKPY37N3C43SOI5IEXEK5JSIYA,1366378695000,0,False
4.0,Norton Internet Security,"I always use Norton as my PC security application (have for over 10 years). I prefer it to most others as I have never had any issues with worms or viruses. Of course, this 2011 version is now outdated and I would recommend that the intended purchaser go with the 2013 version to be sure to capture all recent updates (I now how the 2013 version of this app already purchased and installed on my HP. Highly recommend the Norton as your security application.",[],B0040GFFGO,B005ZKC4FO,AFSKPY37N3C43SOI5IEXEK5JSIYA,1365671303000,0,False
2.0,"Too many issues, maybe the newer versions are better","I found the Roxio Creator to be too difficult to work with, with issues occurring on and off all the time (bugs for sure). I couldn't get the editing down on this application, so I was never able to fully utilize it. I did however, use it fo video transfers which did seem to work well. Anyway, in looking at the other reviews out here it looks like others have had the same troubles I have had. Maybe with the 2013 version Roxio might get it right, but steer clear of the older versions out there.",[],B004074Y6U,B004074Y6U,AFSKPY37N3C43SOI5IEXEK5JSIYA,1365629921000,0,False
5.0,Great Product,"I had a trial version of Microsoft Office which came with my laptop, so I was in the market for the full blown version that would work with my Vista system. This product was easy to use and install and walked me throught the entire process. I would highly recommend to anyone.",[],B00337D8U6,B00466BGS4,AFSKPY37N3C43SOI5IEXEK5JSIYA,1284039832000,0,False
5.0,WOW,"It's a great game,like it has so many types of Dragons. Amazing",[],B00ASMHGWU,B00ASMHGWU,AEBQTMAMKQWHOLTR4CYXKKZWXSMA,1411318823000,1,True
2.0,"It's ok, could be better","For the amount of money, the app is good. BUT the interface leaves a lot to be desired. I have it for Roku so not sure if it's the same on each platform. When doing certain things like searching through your shows, you have to go through every.single.one.of.them. to get to the show you want, instead of having each show in it's own section like other apps. Also, if you are searching through your shows and you click on it and then go back, you go back to the very beginning. When looking through 'recorded shows', you scroll through a ton then you can hit see more and again it takes you back to the beginning. The show selection is good and I am happy with that part of it but it gets old doing all the scrolling when they could improve the interface and make it a lot easier to see what you have to watch. Also, you cannot always find shows in the search section, it is odd and another one of Frndly's weird features.",[],B07VC9NCQN,B07VC9NCQN,AFGNIWCBLQT2QIXXKIW7Q6VREZRQ,1585697045900,0,False
4.0,MobileMe2011 upgrade again,"Cheaper to buy the amazon upgrade versus paining Apple's high price.<br />to be honest I wonder at times why I do this every year. the features really aren't any better each year. I don't have a lot backed up but do have some.<br />I haven't hung a website up so why?<br />keeps an email available to me, my wife and daughter to communicate with. Yes I have gmail and hotmail but both have been spammed and taken over even w/ password changes.<br />so i pay the fee and upgrade thanks to amazon",[],B003TLDSJ2,B003TLDSJ2,AG35BKPUEUMX7LV5YLOQ5YCQ3GOA,1297520687000,0,True
5.0,fun,fun app,[],B06XXS9VHZ,B06XXS9VHZ,AHGAOIZVODNHYMNCBV4DECZH42UQ,1506191483574,11,True
1.0,Nothing special,not that good a much better app is  Cross Stitch World,[],B00MTDAAPQ,B00MTDAAPQ,AHGAOIZVODNHYMNCBV4DECZH42UQ,1480001714000,1,True
5.0,"great fun, nice prizes if you are casino bound.","Been playing in anticipation of a Vegas trip.  Both blackjack and slots.  Earning free buffet trips, discounted shows a d rooms without spending a dime.",[],B00GXH3TGG,B00GXH3TGG,AGAJIGBX3UA7OEFS3XA42FR5SGWA,1448062841000,1,True
4.0,fun!!!!,Fun!!!!,[],B00OTZKV2E,B00OTZKV2E,AGAJIGBX3UA7OEFS3XA42FR5SGWA,1440310828000,0,True
5.0,silly penguin,Lot of fun but can be very frustrating only because I'm a Moron @ times while playing the game.Made me laugh @ myself and try harder.Just a fun SIMPLE. game.,[],B007KLXKFE,B007KLXKFE,AEBEMKCZEMUFCPGTHMPVILJ7Z5VA,1347121480000,2,True
5.0,ABS,YES PLANNING MY 30 day tomorrow,[],B00W7C12F6,B00W7C12F6,AEOKAIB6OJVB5FRZGLEB3YAK5UBQ,1533697494000,5,True
5.0,Five Stars,My favorite music app.,[],B00KLBR6IC,B00KLBR6IC,AEOKAIB6OJVB5FRZGLEB3YAK5UBQ,1526120147320,0,True
5.0,My Echo Dot,Bought it at Best Buy. Best gadget in awhile. Way to go Amazon;,[],B00P03D4D2,B00P03D4D2,AEOKAIB6OJVB5FRZGLEB3YAK5UBQ,1512316411037,0,True
5.0,Free Firestick Channels,Love these free channels I can get with my Firestick.,[],B076X8FKXP,B076X8FKXP,AHZ6XMOLEWA67S3TX7IWEXXGWSOA,1543894787465,0,True
4.0,reef rescue,"I like this game ok... but wish there were less that you must purchase.  Eh.  I'll play until I get tired of the pay for this, pay for that.  Eh.  Wish it could be the good old days and you could play a game for fun.",[],B0788DHDKG,B0788DHDKG,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1644728772855,11,True
3.0,discovery plus,"The app works... but... in general I just don't think there is enough content to justify the additional streaming costs.  I haven't found a single show that would make me think I needed to pay more.  Plus, I don't really appreciate that they make you pay to see some shows - new and/or reruns.  Eh.  I already pay way enough for my satellite subscription.  So, once my trial use is over - I'll cancel.",[],B08F8XQLQZ,B08F8XQLQZ,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1620277303814,0,True
5.0,dishanywhere app for firestick,I downloaded this app to my firestick and it works perfectly.  Love the access to all my streaming stuff AND my paid dish account.  Couldn't be happier.  Very easy to set up and use - step by step process that even I could do all by myself without the help of 10 year old grandson.  Win!,[],B00ILYCMRG,B00ILYCMRG,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1618259418783,2,True
4.0,All in one mahjong,"Mom (80 years old) likes to play mahjong type games and she chose this one.  I hate ads, but it what happens when you get a free app.  But it is time spender and Mom likes that it exercises her mind.",[],B00JQHVJSU,B00JQHVJSU,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1586831362136,3,True
4.0,Vegas slots,"As time blowers go, this is a casino game crossed with a scrabble like word game.  It's a step up I think.  Fairly good win ratio.  Why only 4 stars... you gotta be hooked up to wifi.  *eh*  You're not always able to wifi when you've got down time... I have it on a samsung tablet and on a kindle.  It doesn't freeze or crash or at least not so far - I never hesitate to update my reviews should new info seem useful.",[],B019ZRIB3Q,B019ZRIB3Q,AFZUK3MTBIBEDQOPAK3OATUOUKLA,1535940336719,3,True
